timestamp,mode,event,symbol,instrument_key,rating,price,qty,gain_pct,reason,latency_ms
2026-07-17T06:53:31.679957871Z,shadow,entry,PTCINDUSTRIES,NSE_EQ|INE596F01018,7,17480.0000,1,,UPSTOX_ENABLED=false,59679
2026-07-17T07:38:32.501078395Z,shadow,exit,PTCINDUSTRIES,,,17388.0000,,-0.5263,Time exit (45 min),
2026-07-17T08:09:19.718168179Z,shadow,entry,LASERPOWER,NSE_EQ|INE17IR01028,6,288.6600,1,,UPSTOX_ENABLED=false,302718
2026-07-17T08:54:20.223093068Z,shadow,exit,LASERPOWER,,,288.6600,,0.0000,Time exit (45 min),
2026-07-17T09:02:14.286363344Z,shadow,entry,WAAREE,NSE_EQ|INE377N01017,7,2829.8000,1,,UPSTOX_ENABLED=false,84286
2026-07-17T09:47:16.042156212Z,shadow,exit,WAAREE,,,2842.0000,,0.4311,Time exit (45 min),
2026-07-20T03:45:24.405375676Z,shadow,entry,VATECH,NSE_EQ|INE956G01038,6,2068.5000,1,,UPSTOX_ENABLED=false,9382405
2026-07-20T03:45:24.653961626Z,shadow,entry,PAM,NSE_EQ|INE018A01030,6,3821.6000,1,,UPSTOX_ENABLED=false,356653
2026-07-20T04:30:35.754153584Z,shadow,exit,VATECH,,,2083.0000,,0.7010,Time exit (45 min),
2026-07-20T04:30:36.007031832Z,shadow,exit,PAM,,,3815.1000,,-0.1701,Time exit (45 min),
2026-07-21T05:32:30.902910636Z,shadow,entry,DENTA,NSE_EQ|INE0R4L01018,6,349.2000,1,,UPSTOX_ENABLED=false,44902
2026-07-21T06:17:33.511791604Z,shadow,exit,DENTA,,,345.6000,,-1.0309,Time exit (45 min),
2026-07-21T09:15:08.219506816Z,shadow,entry,ZENTEC,NSE_EQ|INE251B01027,7,1808.7000,1,,UPSTOX_ENABLED=false,149219
2026-07-21T10:00:10.171592891Z,shadow,exit,ZENTEC,,,1829.0000,,1.1224,Time exit (45 min),
